ds,y
2012-01-18,2477.0
2012-01-19,2553.0
2012-01-20,2949.0
2012-01-21,4720.0
2012-01-22,3651.0
2012-01-23,2439.0
2012-01-24,2391.0
2012-01-25,2246.0
2012-01-26,2469.0
2012-01-27,3178.0
2012-01-28,3908.0
2012-01-29,3831.0
2012-01-30,2648.0
2012-01-31,2570.0
2012-02-01,2934.0
2012-02-02,3086.0
2012-02-03,3895.0
2012-02-04,5269.0
2012-02-05,4328.0
2012-02-06,3297.0
2012-02-07,2840.0
2012-02-08,2768.0
2012-02-09,2697.0
2012-02-10,3088.0
2012-02-11,4900.0
2012-02-12,4671.0
2012-02-13,3284.0
2012-02-14,2343.0
2012-02-15,2394.0
2012-02-16,2476.0
2012-02-17,2825.0
2012-02-18,3939.0
2012-02-19,3935.0
2012-02-20,3255.0
2012-02-21,2511.0
2012-02-22,2465.0
2012-02-23,2482.0
2012-02-24,2872.0
2012-02-25,4117.0
2012-02-26,3779.0
2012-02-27,2656.0
2012-02-28,2371.0
2012-02-29,2572.0
2012-03-01,3171.0
2012-03-02,3615.0
2012-03-03,4550.0
2012-03-04,4490.0
2012-03-05,3390.0
2012-03-06,2911.0
2012-03-07,3138.0
2012-03-08,2947.0
2012-03-09,3260.0
2012-03-10,4640.0
2012-03-11,4776.0
2012-03-12,3114.0
2012-03-13,2472.0
2012-03-14,2511.0
2012-03-15,2830.0
2012-03-16,3211.0
2012-03-17,4020.0
2012-03-18,4305.0
2012-03-19,3090.0
2012-03-20,2566.0
2012-03-21,2398.0
2012-03-22,2693.0
2012-03-23,3096.0
2012-03-24,4787.0
2012-03-25,4709.0
2012-03-26,2845.0
2012-03-27,2614.0
2012-03-28,2497.0
2012-03-29,2392.0
2012-03-30,3918.0
2012-03-31,4441.0
2012-04-01,4661.0
2012-04-02,3462.0
2012-04-03,3662.0
2012-04-04,3138.0
2012-04-05,3528.0
2012-04-06,4597.0
2012-04-07,5398.0
2012-04-08,3601.0
2012-04-09,3646.0
2012-04-10,3497.0
2012-04-11,2995.0
2012-04-12,3019.0
2012-04-13,3829.0
2012-04-14,4707.0
2012-04-15,4579.0
2012-04-16,2974.0
2012-04-17,2492.0
2012-04-18,2510.0
2012-04-19,3092.0
2012-04-20,3856.0
2012-04-21,4630.0
2012-04-22,4799.0
2012-04-23,2714.0
2012-04-24,2779.0
2012-04-25,2614.0
2012-04-26,2761.0
2012-04-27,3552.0
2012-04-28,4463.0
2012-04-29,4502.0
2012-04-30,3150.0
2012-05-01,3344.0
2012-05-02,3259.0
2012-05-03,3729.0
2012-05-04,3897.0
2012-05-05,4166.0
2012-05-06,5329.0
2012-05-07,4028.0
2012-05-08,3315.0
2012-05-09,3240.0
2012-05-10,3470.0
2012-05-11,3980.0
2012-05-12,5209.0
2012-05-13,4056.0
2012-05-14,3174.0
2012-05-15,3152.0
2012-05-16,3342.0
2012-05-17,3072.0
2012-05-18,3817.0
2012-05-19,4529.0
2012-05-20,5077.0
2012-05-21,3320.0
2012-05-22,2481.0
2012-05-23,2620.0
2012-05-24,3020.0
2012-05-25,3811.0
2012-05-26,4308.0
2012-05-27,4199.0
2012-05-28,3762.0
2012-05-29,3063.0
2012-05-30,2724.0
2012-05-31,3286.0
2012-06-01,4284.0
2012-06-02,5217.0
2012-06-03,5022.0
2012-06-04,3754.0
2012-06-05,3529.0
2012-06-06,3316.0
2012-06-07,3491.0
2012-06-08,4232.0
