ds,y
2012-01-18,2194.0
2012-01-19,2033.0
2012-01-20,2342.0
2012-01-21,2812.0
2012-01-22,2893.0
2012-01-23,2134.0
2012-01-24,1856.0
2012-01-25,1682.0
2012-01-26,1907.0
2012-01-27,2156.0
2012-01-28,2773.0
2012-01-29,3080.0
2012-01-30,1985.0
2012-01-31,2084.0
2012-02-01,2592.0
2012-02-02,2291.0
2012-02-03,2778.0
2012-02-04,3423.0
2012-02-05,3714.0
2012-02-06,2658.0
2012-02-07,2524.0
2012-02-08,2322.0
2012-02-09,2211.0
2012-02-10,2227.0
2012-02-11,2905.0
2012-02-12,3391.0
2012-02-13,2702.0
2012-02-14,2154.0
2012-02-15,2054.0
2012-02-16,2167.0
2012-02-17,2214.0
2012-02-18,2738.0
2012-02-19,2853.0
2012-02-20,2329.0
2012-02-21,1932.0
2012-02-22,1718.0
2012-02-23,1759.0
2012-02-24,1921.0
2012-02-25,2477.0
2012-02-26,2947.0
2012-02-27,2364.0
2012-02-28,2009.0
2012-02-29,2041.0
2012-03-01,2562.0
2012-03-02,2558.0
2012-03-03,2858.0
2012-03-04,2978.0
2012-03-05,2454.0
2012-03-06,2297.0
2012-03-07,2298.0
2012-03-08,2165.0
2012-03-09,2090.0
2012-03-10,2941.0
2012-03-11,3073.0
2012-03-12,2697.0
2012-03-13,2563.0
2012-03-14,2329.0
2012-03-15,2491.0
2012-03-16,2433.0
2012-03-17,2859.0
2012-03-18,2981.0
2012-03-19,2613.0
2012-03-20,1848.0
2012-03-21,1982.0
2012-03-22,2109.0
2012-03-23,2341.0
2012-03-24,2811.0
2012-03-25,3020.0
2012-03-26,2270.0
2012-03-27,2128.0
2012-03-28,1909.0
2012-03-29,2019.0
2012-03-30,2373.0
2012-03-31,2888.0
2012-04-01,3393.0
2012-04-02,2457.0
2012-04-03,2726.0
2012-04-04,2210.0
2012-04-05,2651.0
2012-04-06,2981.0
2012-04-07,3838.0
2012-04-08,2895.0
2012-04-09,2547.0
2012-04-10,2188.0
2012-04-11,2384.0
2012-04-12,2492.0
2012-04-13,2715.0
2012-04-14,2989.0
2012-04-15,3538.0
2012-04-16,2094.0
2012-04-17,2331.0
2012-04-18,1948.0
2012-04-19,2078.0
2012-04-20,2152.0
2012-04-21,2663.0
2012-04-22,3086.0
2012-04-23,2525.0
2012-04-24,1937.0
2012-04-25,2205.0
2012-04-26,2124.0
2012-04-27,2248.0
2012-04-28,2610.0
2012-04-29,2988.0
2012-04-30,2345.0
2012-05-01,2672.0
2012-05-02,2354.0
2012-05-03,2599.0
2012-05-04,2744.0
2012-05-05,3359.0
2012-05-06,3312.0
2012-05-07,3061.0
2012-05-08,2330.0
2012-05-09,2476.0
2012-05-10,2151.0
2012-05-11,2500.0
2012-05-12,3378.0
2012-05-13,3046.0
2012-05-14,2618.0
2012-05-15,2674.0
2012-05-16,2505.0
2012-05-17,2426.0
2012-05-18,2690.0
2012-05-19,2959.0
2012-05-20,3390.0
2012-05-21,2554.0
2012-05-22,2799.0
2012-05-23,2327.0
2012-05-24,2352.0
2012-05-25,2868.0
2012-05-26,3109.0
2012-05-27,2998.0
2012-05-28,2960.0
2012-05-29,2572.0
2012-05-30,2305.0
2012-05-31,2265.0
2012-06-01,3374.0
2012-06-02,3376.0
2012-06-03,3727.0
2012-06-04,2930.0
2012-06-05,2862.0
2012-06-06,2733.0
2012-06-07,2844.0
2012-06-08,2627.0
2012-06-09,3858.0
2012-06-10,3782.0
2012-06-11,3147.0
2012-06-12,2545.0
2012-06-13,2952.0
2012-06-14,2758.0
2012-06-15,3254.0
