ds,y
2012-01-18,3231.0
2012-01-19,2816.0
2012-01-20,2888.0
2012-01-21,4427.0
2012-01-22,3503.0
2012-01-23,2582.0
2012-01-24,2406.0
2012-01-25,2349.0
2012-01-26,2401.0
2012-01-27,2965.0
2012-01-28,3637.0
2012-01-29,3237.0
2012-01-30,2328.0
2012-01-31,2606.0
2012-02-01,3210.0
2012-02-02,3865.0
2012-02-03,4678.0
2012-02-04,4882.0
2012-02-05,4747.0
2012-02-06,3725.0
2012-02-07,2854.0
2012-02-08,3809.0
2012-02-09,4088.0
2012-02-10,3190.0
2012-02-11,4935.0
2012-02-12,5179.0
2012-02-13,3375.0
2012-02-14,3030.0
2012-02-15,3761.0
2012-02-16,2819.0
2012-02-17,2896.0
2012-02-18,4205.0
2012-02-19,4025.0
2012-02-20,2956.0
2012-02-21,2617.0
2012-02-22,2561.0
2012-02-23,2718.0
2012-02-24,2670.0
2012-02-25,4033.0
2012-02-26,3671.0
2012-02-27,2826.0
2012-02-28,2720.0
2012-02-29,2342.0
2012-03-01,3265.0
2012-03-02,3753.0
2012-03-03,5551.0
2012-03-04,4448.0
2012-03-05,3828.0
2012-03-06,4364.0
2012-03-07,3213.0
2012-03-08,3818.0
2012-03-09,4496.0
2012-03-10,4439.0
2012-03-11,4290.0
2012-03-12,3722.0
2012-03-13,3036.0
2012-03-14,3507.0
2012-03-15,3937.0
2012-03-16,3705.0
2012-03-17,4369.0
2012-03-18,3762.0
2012-03-19,3068.0
2012-03-20,2896.0
2012-03-21,2911.0
2012-03-22,2599.0
2012-03-23,3217.0
2012-03-24,4143.0
2012-03-25,3691.0
2012-03-26,2821.0
2012-03-27,2581.0
2012-03-28,2374.0
2012-03-29,2370.0
2012-03-30,3132.0
2012-03-31,4333.0
2012-04-01,3836.0
2012-04-02,4264.0
2012-04-03,3955.0
2012-04-04,3182.0
2012-04-05,3862.0
2012-04-06,4441.0
2012-04-07,4648.0
2012-04-08,3852.0
2012-04-09,3750.0
2012-04-10,3058.0
2012-04-11,3723.0
2012-04-12,3731.0
2012-04-13,3684.0
2012-04-14,4873.0
2012-04-15,4506.0
2012-04-16,3332.0
2012-04-17,2961.0
2012-04-18,2608.0
2012-04-19,2310.0
2012-04-20,2818.0
2012-04-21,3999.0
2012-04-22,3436.0
2012-04-23,2620.0
2012-04-24,2503.0
2012-04-25,2695.0
2012-04-26,2497.0
2012-04-27,3161.0
2012-04-28,3883.0
2012-04-29,3664.0
2012-04-30,2819.0
2012-05-01,3383.0
2012-05-02,4163.0
2012-05-03,4547.0
2012-05-04,4092.0
2012-05-05,5151.0
2012-05-06,4963.0
2012-05-07,3640.0
2012-05-08,3881.0
2012-05-09,3945.0
2012-05-10,3082.0
2012-05-11,4366.0
2012-05-12,5617.0
2012-05-13,3820.0
2012-05-14,4925.0
2012-05-15,4506.0
2012-05-16,3367.0
2012-05-17,3258.0
2012-05-18,3903.0
2012-05-19,4507.0
2012-05-20,4571.0
2012-05-21,3124.0
2012-05-22,2921.0
2012-05-23,3016.0
2012-05-24,3245.0
2012-05-25,3725.0
2012-05-26,4329.0
2012-05-27,3605.0
2012-05-28,3307.0
2012-05-29,2925.0
2012-05-30,2760.0
2012-05-31,2618.0
2012-06-01,4106.0
